evlon,evlats,evdepth,evM,evorigint
-124.4725,42.7775,16129.999999999998,3.54,2019-11-30T04:58:27.190000Z
-122.338837,41.788334,4770.0,3.87,2019-11-30T01:45:40.430000Z
-124.476667,42.776,16650.0,4.53,2019-11-30T01:45:12.620000Z
-122.025497,41.545334,3180.0,3.13,2019-06-04T04:50:22.060000Z
-123.841333,44.9975,44020.0,3.57,2019-05-19T16:23:41.110000Z
-119.793667,42.1015,1600.0,2.52,2019-05-11T19:48:07.890000Z
-124.482167,44.414167,7970.0,2.5,2019-04-23T23:05:51.150000Z
-123.8515,44.9955,45350.0,2.6,2019-03-01T00:29:23.350000Z
-123.8375,44.988833,43990.0,3.0,2019-02-22T19:04:50.950000Z
-123.786833,44.826333,48580.0,2.53,2018-12-23T11:11:02.970000Z
-120.420667,46.103167,17530.0,2.9,2018-10-09T22:34:00.400000Z
-122.8965,45.676667,22710.0,2.6,2018-09-25T13:18:50.110000Z
-122.972167,45.135833,40890.0,2.8,2018-09-17T00:08:26.690000Z
-122.222167,44.821333,3780.0,2.57,2018-08-30T23:38:18.160000Z
-125.002833,44.334333,41980.0,2.72,2018-08-24T10:48:58.260000Z
-124.320664,45.841499,13430.0,2.76,2018-08-22T13:20:47.230000Z
-124.3475,44.613,25410.0,3.0,2018-07-11T12:09:45.720000Z
-122.127833,46.0455,12120.0,3.0,2018-05-28T02:08:28.730000Z
-122.755833,44.9455,18380.0,3.1,2018-04-15T03:45:41.250000Z
-122.487167,45.819333,8950.0,2.5,2018-03-17T06:20:26.860000Z
-124.6819,44.2056,10000.0,2.8,2018-03-09T08:48:28.940000Z
-124.348833,45.155833,30150.0,3.06,2018-02-04T22:37:32.230000Z
-122.058667,46.256833,9800.0,2.7,2018-01-03T08:39:16.510000Z
-122.056333,46.255667,10230.0,3.8,2018-01-03T08:36:25.940000Z
-120.542667,46.154,19600.0,2.71,2017-12-30T04:38:07.190000Z
-122.599333,45.035333,17370.0,3.96,2017-12-14T01:24:26.830000Z
-124.8511,43.9998,20990.0,2.96,2017-12-06T23:16:01.720000Z
-121.692667,42.139833,6880.0,2.6,2017-11-11T07:41:04.640000Z
-120.707167,46.1415,11320.0,2.5,2017-10-17T16:00:05.500000Z
-123.461167,45.916667,24310.0,3.4,2017-10-16T05:28:09.430000Z
-120.55,46.159833,14470.0,2.6,2017-10-13T04:32:52.000000Z
-120.540167,46.155833,12910.0,3.5,2017-10-12T19:04:20.540000Z
-121.686167,45.320667,6840.0,2.75,2017-10-10T02:45:37.050000Z
-121.689835,45.321667,6800.0,2.5,2017-10-09T23:06:21.400000Z
-123.953167,44.251833,24140.0,2.77,2017-09-26T22:21:58.680000Z
-124.421833,44.341833,25720.0,2.8,2017-09-05T15:48:09.530000Z
-124.3365,44.6125,25730.0,2.5,2017-08-26T20:44:09.900000Z
-122.430833,44.379833,12400.0,2.5,2017-07-11T23:40:24.420000Z
-123.108833,46.1635,23090.0,2.5,2017-07-09T00:27:13.900000Z
-123.0955,45.057667,22480.0,3.0,2017-06-01T16:02:57.740000Z
-124.6165,44.4392,36680.0,2.7,2017-04-15T19:06:43.970000Z
-124.5927,44.4518,10000.0,3.78,2017-04-15T14:48:35.150000Z
-122.332,46.448333,11750.0,3.21,2017-03-14T23:43:19.630000Z
-121.924167,41.534,170.0,2.5,2017-02-27T11:48:18.830000Z
-124.488333,42.444,19340.0,2.6,2016-12-20T12:45:50.490000Z
-122.031833,46.308833,7020.0,3.33,2016-12-09T09:50:29.960000Z
-124.441333,43.269833,15790.0,3.3,2016-12-05T06:42:00.930000Z
-122.910833,45.163,23700.0,3.03,2016-10-04T04:29:22.630000Z
-122.813333,45.474833,26650.0,3.03,2016-07-17T01:16:43.880000Z
-124.492167,42.394,21070.0,2.89,2016-06-27T22:04:28.370000Z
-121.701667,45.3195,3250.0,2.5,2016-05-18T07:38:54.750000Z
-120.1645,41.989333,5400.0,2.53,2016-04-08T11:23:23.330000Z
-122.162667,46.116833,5739.0,2.85,2016-02-08T16:50:07.960000Z
-122.4445,46.2505,18564.0,2.73,2015-11-19T08:02:30.570000Z
-122.754833,45.681667,22336.0,2.77,2015-11-12T16:16:30.550000Z
-121.373167,42.211667,24.0,2.72,2015-10-29T22:38:02.820000Z
-122.308,46.486167,21401.0,3.24,2015-10-29T04:35:40.830000Z
-121.726,43.529167,7466.0,2.97,2015-10-26T06:11:01.260000Z
-121.726833,43.531,3086.0,2.87,2015-10-24T03:55:06.020000Z
-120.162333,41.986833,8630.0,3.52,2015-09-08T08:13:42.940000Z
-122.263167,46.356167,11530.0,3.11,2015-09-03T22:29:21.660000Z
-120.1532,41.9857,6900.0,2.8,2015-07-28T20:12:11.330000Z
-122.8334,44.0896,9600.0,4.1,2015-07-04T15:42:18.480000Z
-123.4398,45.4812,45500.0,2.9,2015-06-25T13:24:48.430000Z
-120.6996,46.1521,13400.0,2.9,2015-06-18T17:47:31.360000Z
-121.2597,45.1999,16000.0,2.7,2015-05-15T22:42:43.610000Z
