network,stations,st_lon,st_lat,st_elv,gr_cir_distance,rhypo,repi,mag,origint,Parrtime,collecttime,endtime,evlat,evlon,evdepth,channels
TA,F04D,-123.010803,46.082901,236.0,69.30776697665704,74.25489252091855,69.30776697667558,3.03,2016-07-17T01:16:43.880000Z,12.29890022364319,2016-07-17T01:16:46.178900Z,2016-07-17T01:19:46.178900Z,45.474833,-122.813333,26650.0,BH*
TA,F04D,-123.010803,46.082901,236.0,132.63907327234443,132.67888399683966,132.6390732727232,2.5,2016-05-18T07:38:54.750000Z,22.869411485828103,2016-05-18T07:39:07.619411Z,2016-05-18T07:42:07.619411Z,45.3195,-121.701667,3250.0,BH*
TA,F04D,-123.010803,46.082901,236.0,508.7741839536773,508.8028402617919,508.7741839544008,2.53,2016-04-08T11:23:23.330000Z,69.79103717314325,2016-04-08T11:24:23.121037Z,2016-04-08T11:27:23.121037Z,41.989333,-120.1645,5400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.68916555406936,65.93938574330727,65.68916555418157,2.85,2016-02-08T16:50:07.960000Z,11.363726523181308,2016-02-08T16:50:09.323727Z,2016-02-08T16:53:09.323727Z,46.116833,-122.162667,5739.0,BH*
TA,F04D,-123.010803,46.082901,236.0,47.53796754644888,51.03411069528177,47.53796754656506,2.73,2015-11-19T08:02:30.570000Z,8.787836692473844,2015-11-19T08:02:29.357837Z,2015-11-19T08:05:29.357837Z,46.2505,-122.4445,18564.0,BH*
TA,F04D,-123.010803,46.082901,236.0,48.82307519297432,53.68975290782387,48.823075193018944,2.77,2015-11-12T16:16:30.550000Z,9.090643572467345,2015-11-12T16:16:29.640644Z,2015-11-12T16:19:29.640644Z,45.681667,-122.754833,22336.0,BH*
TA,F04D,-123.010803,46.082901,236.0,449.636300439868,449.6363010806389,449.63630044012126,2.72,2015-10-29T22:38:02.820000Z,63.126081112197454,2015-10-29T22:38:55.946081Z,2015-10-29T22:41:55.946081Z,42.211667,-121.373167,24.0,BH*
TA,F04D,-123.010803,46.082901,236.0,70.30484075434467,73.48995465040831,70.30484075452465,3.24,2015-10-29T04:35:40.830000Z,12.352661532576242,2015-10-29T04:35:43.182662Z,2015-10-29T04:38:43.182662Z,46.486167,-122.308,21401.0,BH*
TA,F04D,-123.010803,46.082901,236.0,301.433228227472,301.5256742563795,301.433228227686,2.97,2015-10-26T06:11:01.260000Z,43.90657918004359,2015-10-26T06:11:35.166579Z,2015-10-26T06:14:35.166579Z,43.529167,-121.726,7466.0,BH*
TA,F04D,-123.010803,46.082901,236.0,301.2187627171118,301.2345704081073,301.21876271732634,2.87,2015-10-24T03:55:06.020000Z,44.405761195903445,2015-10-24T03:55:40.425761Z,2015-10-24T03:58:40.425761Z,43.531,-121.726833,3086.0,BH*
